,Labels\f1 score,ex0,ex1,ex2,ex3
0,0,0.95766129,0.976578411,0.978328173,0.980612245
1,1,0.97395833,0.980802792,0.981578947,0.977078652
2,2,0.91453831,0.941526264,0.956605593,0.961102905
3,3,0.91465864,0.95545766,0.963539135,0.964407606
4,4,0.92261307,0.961961962,0.952863659,0.968766001
5,5,0.90500281,0.960088692,0.952954048,0.971590909
6,6,0.9309808,0.966021955,0.9664,0.979634465
7,7,0.92344961,0.94762604,0.947574718,0.9609375
8,8,0.90890161,0.952133195,0.957674656,0.93927522
9,9,0.91263105,0.954568148,0.930562595,0.9617866
